id,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49
1,446467,621.061,C,text_3635,2021-03-16 00:00:00,210603,504.5819,D,text_7578,2021-04-04 00:00:00,228518,792.8692,C,text_5723,2021-02-25 00:00:00,545531,387.2904,B,text_8836,2020-08-24 00:00:00,150651,998.9048,D,text_6441,2020-01-24 00:00:00,316569,482.5576,B,text_7281,2021-05-08 00:00:00,179733,242.1794,B,text_1436,2020-11-21 00:00:00,893121,563.6349,A,text_650,2021-09-23 00:00:00,225052,127.2946,B,text_4347,2021-10-24 00:00:00,103058,280.3023,C,text_608
2,772114,526.1352,D,text_6801,2021-07-20 00:00:00,445960,614.6266,C,text_3831,2020-03-22 00:00:00,380213,591.5636,B,text_7298,2020-07-25 00:00:00,136260,318.499,B,text_4233,2021-02-11 00:00:00,811378,779.414,B,text_4093,2020-03-14 00:00:00,179576,247.545,B,text_408,2020-12-16 00:00:00,392934,628.5926,B,text_2400,2020-02-17 00:00:00,18252,648.9974,C,text_5605,2021-06-06 00:00:00,720694,512.2974,C,text_7722,2022-07-20 00:00:00,547637,691.6852,A,text_3436
3,761808,77.5359,D,text_381,2020-06-06 00:00:00,963861,260.2673,A,text_2256,2021-08-09 00:00:00,468310,10.8238,A,text_125,2022-04-24 00:00:00,607697,743.7938,C,text_3498,2020-02-01 00:00:00,133377,400.6354,C,text_9806,2020-01-31 00:00:00,627227,912.9752,B,text_7637,2022-11-19 00:00:00,306620,142.5614,D,text_5490,2021-10-16 00:00:00,426132,665.2675,B,text_7830,2020-10-10 00:00:00,18666,180.0927,A,text_8024,2022-11-10 00:00:00,7014,143.6229,B,text_6655
4,186894,29.8513,D,text_3811,2020-03-27 00:00:00,484043,989.1587,B,text_77,2020-08-11 00:00:00,907213,204.9067,A,text_475,2022-11-10 00:00:00,347230,145.0513,D,text_8975,2020-02-15 00:00:00,176974,550.638,D,text_6506,2020-05-20 00:00:00,670475,117.6555,A,text_149,2020-01-21 00:00:00,786858,404.727,A,text_6208,2021-06-27 00:00:00,535727,791.4329,A,text_6558,2020-11-14 00:00:00,359132,103.3516,C,text_6931,2022-05-26 00:00:00,860231,675.959,A,text_3274
5,690923,929.0903,D,text_1514,2021-08-22 00:00:00,987111,115.6037,C,text_349,2021-08-15 00:00:00,316666,992.845,C,text_1513,2021-12-22 00:00:00,45166,436.4368,C,text_34,2021-05-26 00:00:00,164342,865.6831,C,text_3830,2020-10-25 00:00:00,919961,19.6766,A,text_8416,2020-11-14 00:00:00,522075,399.6786,C,text_8136,2020-07-15 00:00:00,897185,169.5049,A,text_83,2022-02-28 00:00:00,104554,777.89,C,text_8860,2021-05-20 00:00:00,313183,598.9241,C,text_6167
6,36804,476.8021,A,text_2626,2022-07-28 00:00:00,484177,938.9542,A,text_6054,2021-08-14 00:00:00,241285,534.9412,B,text_2325,2021-10-05 00:00:00,278575,472.4526,A,text_1277,2022-01-19 00:00:00,345577,16.6425,C,text_2304,2021-03-28 00:00:00,731757,781.3348,A,text_1796,2021-11-17 00:00:00,556207,723.5666,A,text_9487,2022-12-08 00:00:00,14231,607.5909,D,text_2754,2020-12-13 00:00:00,371690,740.9599,D,text_582,2021-12-20 00:00:00,371218,125.7013,C,text_1551
7,542109,612.8232,C,text_9053,2020-10-22 00:00:00,199371,640.4308,B,text_7948,2020-07-17 00:00:00,533537,70.9698,A,text_4143,2022-03-03 00:00:00,569714,667.3842,D,text_6137,2022-09-09 00:00:00,379280,54.1077,D,text_9212,2021-01-31 00:00:00,377438,58.1235,D,text_5357,2020-06-25 00:00:00,232735,936.478,C,text_8813,2022-06-21 00:00:00,36744,203.243,A,text_5968,2022-04-26 00:00:00,298832,835.2303,B,text_2624,2020-11-13 00:00:00,612905,324.659,A,text_5986
8,426002,882.1423,D,text_140,2020-05-06 00:00:00,637049,343.928,A,text_5177,2021-02-21 00:00:00,324938,468.9007,D,text_81,2020-04-04 00:00:00,337281,444.6833,B,text_7700,2020-02-29 00:00:00,535540,381.3145,B,text_7682,2021-05-25 00:00:00,184612,200.0909,A,text_4101,2021-09-16 00:00:00,841283,476.1235,C,text_3018,2022-04-23 00:00:00,881206,25.9704,B,text_7249,2021-04-17 00:00:00,888744,866.671,B,text_78,2021-09-08 00:00:00,981054,814.3717,C,text_1284
9,296612,422.105,D,text_8330,2020-01-25 00:00:00,559265,364.2381,D,text_3629,2020-06-05 00:00:00,63892,698.7209,D,text_593,2021-03-24 00:00:00,177255,681.6332,A,text_8743,2021-04-08 00:00:00,649682,461.7615,B,text_7026,2020-07-07 00:00:00,30051,760.4964,A,text_7110,2022-08-10 00:00:00,225424,710.5463,B,text_269,2021-01-06 00:00:00,103733,270.6521,B,text_7498,2022-10-22 00:00:00,809428,209.0285,B,text_8568,2022-05-24 00:00:00,943697,700.5464,D,text_4830
10,713864,44.7496,B,text_6822,2022-04-24 00:00:00,844854,201.0106,C,text_3115,2022-08-11 00:00:00,614856,582.0311,C,text_8313,2022-01-10 00:00:00,311729,741.0248,D,text_5150,2022-02-24 00:00:00,959961,823.7391,C,text_8296,2021-04-14 00:00:00,431951,968.4319,C,text_7754,2020-03-30 00:00:00,129950,951.9149,D,text_635,2022-07-23 00:00:00,694923,939.2156,C,text_9092,2021-10-07 00:00:00,844336,455.6737,C,text_8727,2022-02-22 00:00:00,443685,970.2947,A,text_8327
